DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
22-03-2021,308.9,308.9,300.1,303.05,2657465,20678
19-03-2021,303.3,311,290.35,308.95,5202269,35810
18-03-2021,310.6,316.5,299.75,306.9,5997189,58868
17-03-2021,317,320,304,305.85,2202123,18503
16-03-2021,320.3,321.8,315.3,319.75,1860583,13729
15-03-2021,320.4,320.65,310.1,318.45,2305974,18306
12/3/2021,325.9,326.35,314.3,317.45,2103674,19405
10/3/2021,320,324.4,316.75,321.35,3898952,40218
9/3/2021,325.3,328.25,309.7,315.2,6082763,71944
8/3/2021,331.5,331.55,318.85,321.25,4669627,49112
5/3/2021,334.5,337.8,319.8,325.1,7493136,73909
4/3/2021,340.8,345.3,337.25,339.2,5215719,48534
3/3/2021,348.7,357,346.6,348.5,4442426,39709
2/3/2021,330.7,347.1,326.65,345.7,6450114,52396
1/3/2021,329.9,331.85,322.55,328.1,5221906,49080
26-02-2021,324,333,318.8,323,4893904,37422
25-02-2021,325.4,334.5,323.3,333.1,7349275,60574
24-02-2021,326.3,330,305.1,322.25,15105742,108105
23-02-2021,308,328.8,308,324.1,6654359,41969
22-02-2021,311.55,314,302.15,304.15,5997129,53671
19-02-2021,322.5,322.5,301.5,312,4202696,34819
18-02-2021,331.5,331.9,317.65,323.3,2511859,17467
17-02-2021,327,334.25,325.55,330.1,2708521,18397
16-02-2021,335.8,337.9,327.6,329.05,3878347,22054
15-02-2021,330.4,335.6,324.05,333.3,3847809,26324
12/2/2021,326.55,330.4,321.35,325.25,3578496,21977
11/2/2021,326.05,331.35,323,324.9,4273371,35975
10/2/2021,325.55,332.5,319.5,328.95,7313560,62129
9/2/2021,337,338.55,322.15,325.1,5406350,42812
8/2/2021,318.95,339.25,316.8,335.85,5875468,43051
5/2/2021,328.9,329.9,312.85,315.9,5787491,45011
4/2/2021,330.7,334.4,322.5,326.1,6925075,52907
3/2/2021,339.4,341.85,326.25,330.95,16250000,135607
2/2/2021,292.75,332.4,290,322.3,22854765,164374
1/2/2021,270.4,281.95,255.55,279.75,9091062,67690
29-01-2021,273.4,278.85,260.6,262.6,10077046,68317
28-01-2021,259.8,273.45,259,266.85,7406729,41437
27-01-2021,278,278,265.75,267.4,6060640,43764
25-01-2021,299.9,299.9,277.4,279.05,12225688,108260
22-01-2021,296,306.9,278.3,289.4,14867458,104926
21-01-2021,282,299,280.1,290.45,17635185,142412
20-01-2021,260,277.6,259,274.9,13752988,100324
19-01-2021,251.7,261.7,251.4,258.85,6386190,41527
18-01-2021,262.4,262.4,241.15,245.65,11550376,99635
15-01-2021,246.35,264.6,242.5,260.4,17370425,108461
14-01-2021,243,249.8,238.6,245.15,4130572,24819
13-01-2021,243.3,248.8,238.55,242.5,11660473,78554
12/1/2021,228.8,249.5,224.05,237.8,20541348,113913
11/1/2021,199.8,225,199.55,220.1,7959649,45039
8/1/2021,199.15,201.45,197.25,198.1,3221977,11829
7/1/2021,197,200.35,195.45,196.7,4978434,16509
6/1/2021,194.05,197.45,190.7,195.35,5666225,33962
5/1/2021,187,193.95,185.05,193.25,3650476,17873
4/1/2021,192,193,188.8,191.2,2832471,15982
1/1/2021,185.25,187,184.55,186.45,1158750,6350
31-12-2020,185,187.5,182.85,183.7,2122018,10651
30-12-2020,183.3,185.3,180.45,184,1478809,8553
29-12-2020,188,188.6,181.05,183.4,3312073,15460
28-12-2020,180,187.45,179,186.3,4106762,20858
24-12-2020,171.5,177.9,171.5,175.9,5228776,30286
23-12-2020,165.7,169.7,163.35,169.2,6186133,27012
22-12-2020,164,169.1,156.55,165.05,8247143,65739
21-12-2020,176.5,177.5,162.45,164.55,3742380,22138
18-12-2020,181.1,181.45,176.7,180.5,1595408,6798
17-12-2020,183.6,184.15,180.65,181.65,1878837,6236
16-12-2020,181,183.8,180.3,182.5,3455087,10666
15-12-2020,176.8,179.5,173.3,178.8,1890994,8925
14-12-2020,181,181,176.8,177.6,3755794,8128
11/12/2020,178.1,181.45,176.6,178.8,3009313,18987
10/12/2020,182.7,182.75,176.45,177.6,3178214,24365
9/12/2020,182.65,186.4,181.8,182.7,2954649,9319
8/12/2020,185.35,185.7,178.95,181.75,2359362,10350
7/12/2020,184.7,186.45,182.8,183.55,3447221,16976
4/12/2020,186.7,188.75,182.25,184.15,3479711,13411
3/12/2020,185,186,183.3,184.8,2377418,8853
2/12/2020,184.1,187.3,181.15,183.55,5202699,19792
1/12/2020,183.25,183.25,178.1,179.7,2381640,12516
27-11-2020,174.45,183.75,174.45,180.25,7612050,48069
26-11-2020,171.7,174.9,171.05,173.75,1363494,8526
25-11-2020,175,176.85,169.25,171.4,2574062,14734
24-11-2020,172.3,175.55,171.2,172,2891967,12555
23-11-2020,169.7,173.9,165.6,170.6,2467428,13318
20-11-2020,170,171.55,165.55,169,3049951,14614
19-11-2020,171.8,176.35,166.6,167.75,7800401,49440
18-11-2020,158.6,174.95,158.6,173.55,10988480,69219
17-11-2020,151.7,159.1,151.7,158,7207341,82609
14-11-2020,149,150.75,147.9,148.9,711169,10769
13-11-2020,150,150,145.5,146.35,1759776,11362
12/11/2020,150,153.8,150,151.15,3728837,23977
11/11/2020,146,151.4,145.75,150.95,7167086,43542
10/11/2020,143.25,146.55,142.7,146,6295710,39323
9/11/2020,140.35,141.5,138.75,141,1864786,12169
6/11/2020,137.9,142.25,137.75,138.9,4560932,28010
5/11/2020,136.95,138,136,137.65,1869117,10507
4/11/2020,134.65,137,134,135.85,4467240,21827
3/11/2020,134.85,137.35,133.65,134.1,4349169,23439
